,word,theme
34937,infant,No theme
35072,investigate,No theme
35087,iowa,No theme
35206,jean,No theme
35236,jersey,No theme
35288,johnson,No theme
35294,jolie,No theme
35395,kanye,No theme
35460,kendall,No theme
35498,kidnapping,violence
35507,killing,violence
35510,kim,No theme
35525,kinney,No theme
35590,kourtney,No theme
35616,ksl,No theme
35664,lake,No theme
35706,las,No theme
35745,lawmaker,No theme
35750,lawsuit,violence
35797,legacy,No theme
35957,lively,No theme
36001,lohan,No theme
36026,lopez,No theme
36055,lovato,No theme
36090,lunch,No theme
36252,manhattan,No theme
36289,marathon,No theme
36308,maria,No theme
36319,marine,No theme
36372,maryland,No theme
36527,megan,No theme
36536,melissa,No theme
36544,memba,No theme
36550,memoir,No theme
36613,mexican,No theme
36628,michigan,No theme
36682,minaj,No theme
36726,misconduct,No theme
36781,mock,No theme
36893,mourn,No theme
37039,nba,No theme
37064,neighbor,No theme
37116,nfl,No theme
37128,nicki,No theme
37251,nyc,No theme
37256,nypd,No theme
37320,ohio,No theme
37328,oklahoma,No theme
37541,paltrow,No theme
37554,pant,No theme
37714,pen,No theme
37725,pennsylvania,No theme
37852,piece,No theme
37878,pioneer,No theme
37995,politico,No theme
38027,pope,No theme
38065,possible,No theme
38083,pound,No theme
38204,pro,No theme
38217,producer,No theme
38263,prosecutor,No theme
38493,rapper,No theme
38619,reese,No theme
38629,reflect,No theme
38737,reportedly,No theme
38748,republican,No theme
38874,richard,No theme
38946,robbery,violence
38950,robert,No theme
38995,romance,No theme
39052,rousey,No theme
39088,rumor,No theme
39116,ryan,No theme
39153,sale,No theme
39177,san,No theme
39306,scott,No theme
39376,selena,No theme
39548,shirt,No theme
39573,shot,No theme
39655,simpson,No theme
39745,slay,No theme
39747,slaying,No theme
39823,sneak,No theme
39829,snl,No theme
39853,soccer,No theme
39864,soda,No theme
39926,sound,No theme
39930,source,No theme
39966,spear,No theme
40027,spotlight,No theme
40158,stewart,No theme
40296,subway,No theme
40341,sun,No theme
40357,superhero,No theme
40403,susan,No theme
40439,sweet,No theme
40628,tennessee,No theme
40660,testify,No theme
40687,thehill,No theme
40834,tony,No theme
41019,truck,No theme
41205,union,No theme
41293,usa,No theme
41304,utah,No theme
41328,valley,No theme
41344,vanish,No theme
41359,vegas,No theme
41456,virginia,No theme
41505,voter,No theme
41546,walmart,No theme
41578,washington,No theme
41619,weekend,No theme
41714,williams,No theme
41747,winter,No theme
41758,witherspoon,No theme
