,year,country,word,frequency,count,freq_prop_headlines,word_len
136389,2020,India,boyfriend,0.0,1685,0.0,9
136390,2021,India,boyfriend,0.0,7970,0.0,9
139876,2005,India,break,0.0,172,0.0,5
139877,2006,India,break,0.0,204,0.0,5
139878,2007,India,break,3.0,496,0.006048387096774193,5
139879,2008,India,break,5.0,1368,0.003654970760233918,5
139880,2009,India,break,10.0,2356,0.004244482173174873,5
139881,2010,India,break,7.0,3168,0.0022095959595959595,5
139882,2011,India,break,13.0,4876,0.0026661197703035273,5
139883,2012,India,break,16.0,7268,0.002201430930104568,5
139884,2013,India,break,29.0,9820,0.0029531568228105907,5
139885,2014,India,break,41.0,15004,0.0027326046387629965,5
139886,2015,India,break,84.0,21064,0.0039878465628560575,5
139887,2016,India,break,119.0,28024,0.00424636026263203,5
139888,2017,India,break,164.0,34194,0.004796163069544364,5
139889,2018,India,break,171.0,38340,0.004460093896713615,5
139890,2019,India,break,200.0,41698,0.004796393112379491,5
139891,2020,India,break,1.0,674,0.001483679525222552,5
139892,2021,India,break,1.0,3188,0.0003136762860727729,5
146047,2005,India,brooklyn,0.0,172,0.0,8
146048,2006,India,brooklyn,0.0,204,0.0,8
146049,2007,India,brooklyn,0.0,496,0.0,8
146050,2008,India,brooklyn,0.0,1368,0.0,8
146051,2009,India,brooklyn,0.0,2356,0.0,8
146052,2010,India,brooklyn,0.0,3168,0.0,8
146053,2011,India,brooklyn,6.0,4876,0.0012305168170631665,8
146054,2012,India,brooklyn,14.0,7268,0.001926252063841497,8
146055,2013,India,brooklyn,7.0,9820,0.0007128309572301426,8
146056,2014,India,brooklyn,8.0,15004,0.0005331911490269261,8
146057,2015,India,brooklyn,7.0,21064,0.0003323205469046715,8
146058,2016,India,brooklyn,12.0,28024,0.00042820439623180134,8
146059,2017,India,brooklyn,4.0,34194,0.00011697958706205768,8
146060,2018,India,brooklyn,0.0,38340,0.0,8
146061,2019,India,brooklyn,1.0,41698,2.3981965561897452e-05,8
146062,2020,India,brooklyn,0.0,674,0.0,8
